beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
32.0,32.0,0,0.1329045,0.1329045,0.13153149,0.16953072,0.14889407,0.25733387,0.1373748,0.22009869,-216.84028412642266,196.8,-551.9407991405633,544.8,-297.5599722510808,262.5,-220.49048774415832,310.7,-321.70788581555627,22.88803143496625,3982.2681374403182,40,-121.72852274704807,11000.0,-380.39462054955413,11000.0,-299.6289203997386,11000.0,-69.96062155146355,11000.0
32.0,32.0,2,0.07127244,0.16467357,0.07337482,0.16814311,0.18455693,0.18455693,0.17155686,0.21983047,-187.7223711841135,306.8,-169.45339040180224,320.1,-698.2611668323494,358.8,-192.99616658738097,187.0,-312.10827375141156,22.610712985973805,4424.697104005725,44,-193.02727859690876,12000.0,-205.64378597017867,12000.0,-68.18995556300499,12000.0,-140.2153238108717,12000.0
32.0,32.0,3,0.061186433,0.14879416,0.062218934,0.1527306,0.19071795,0.22805743,0.1865356,0.1865356,-112.11710136215238,129.4,-76.69936929684103,135.8,-213.74814006630422,170.7,-272.44608416868743,167.7,-168.75267372349626,18.354281619074754,4859.463843260892,48,-202.29764042585217,13000.0,-202.80675403117516,13000.0,-267.15329185228995,13000.0,-294.33483324647307,13000.0
16.0,16.0,1,0.12842166,0.2998288,0.13837762,0.13837762,0.14339587,0.4357552,0.12811191,0.35387218,-484.66001949524815,445.6,-518.7335869153906,297.4,-329.10534426729004,168.2,-285.2923308588539,353.5,-404.44782038419567,9.903034016024321,5304.50215111475,52,-284.71523938621715,14000.0,-190.9960428878577,14000.0,-252.60368626567703,14000.0,-467.2712370234698,14000.0
16.0,16.0,0,0.14517637,0.14517637,0.091540515,0.27856275,0.14633712,0.34911194,0.102989376,0.3190736,-282.1379902710435,171.8,-67.08722244384613,61.7,-88.70946362489366,61.3,-379.06270764223603,286.4,-204.24934599550483,21.402324834023602,5741.277328103897,56,-166.3337823506462,15000.0,-289.3049692403156,15000.0,-256.38231571194257,15000.0,-593.6250033462093,15000.0
32.0,32.0,0,0.15191211,0.15191211,0.09363195,0.25558478,0.120679945,0.37752184,0.10220528,0.27122533,-531.8784593965872,258.2,-616.5138153491112,555.4,-140.69063863300923,140.6,-666.3447876680336,565.9,-488.8569252616853,9.860119370976463,6192.143020018353,60,-217.4386418572696,16000.0,-378.9506490194202,16000.0,-445.55060154885666,16000.0,-214.49005415155307,16000.0
32.0,32.0,3,0.15521234,0.25644043,0.1513488,0.25868708,0.1709668,0.3767826,0.15647091,0.15647091,-489.64069826995984,508.5,-484.7480108264211,420.8,-448.69211941792145,307.2,-369.29318876685386,282.6,-448.09350432028907,25.735237880027853,6647.623919469537,64,-58.22437793350296,17000.0,-152.12776186862357,17000.0,-448.47807430216415,17000.0,-77.40274672065934,17000.0
32.0,32.0,2,0.12171075,0.29414642,0.14554697,0.2983575,0.14809573,0.14809573,0.14207833,0.30502746,-820.8642379206576,604.9,-219.42665384471997,199.5,-460.0130504662564,273.5,-225.0412468940604,192.5,-431.3362972814236,26.380948202917352,7094.347488844302,68,-150.07267550240607,18000.0,-154.31487343835562,18000.0,-70.5025991004957,18000.0,-110.70285148254463,18000.0
32.0,32.0,1,0.09071841,0.23911895,0.19258122,0.19258122,0.13406254,0.2873669,0.10220589,0.24518676,-252.13657357544065,221.8,-167.66974936179528,114.6,-496.2911640101279,369.3,-287.86258071886067,604.8,-300.9900169165561,21.92764857900329,7545.477113291388,72,-308.6450470058667,19000.0,-158.40519448323872,19000.0,-254.34633539890356,19000.0,-253.03517216446076,19000.0
32.0,32.0,1,0.122053295,0.2899181,0.15292563,0.15292563,0.12475238,0.39605084,0.12879522,0.28053546,-629.1131466693038,554.8,-210.624080132866,116.8,-58.45019441379948,59.1,-407.4086354950914,425.6,-326.39901417776514,22.670004196930677,7991.28412555391,76,-359.65287325525907,20000.0,-63.420570192705114,20000.0,-304.3947372956886,20000.0,-394.94488263473215,20000.0
64.0,64.0,1,0.09820235,0.24357507,0.15184665,0.15184665,0.11566334,0.34760958,0.1100591,0.24342285,-66.23240639279894,162.8,-143.36185473454194,108.0,-772.5240729154273,585.8,-406.69592618033755,307.8,-347.2035650557764,20.047994361026213,8440.538863028982,80,-510.13667332899405,21000.0,-174.51012827235633,21000.0,-336.5193983374434,21000.0,-493.09002073439933,21000.0
64.0,64.0,2,0.08233529,0.21277477,0.21059006,0.24643584,0.18065515,0.18065515,0.08327865,0.20825897,-249.94142051209923,275.3,-116.6514681002756,99.4,-567.4102829774415,372.2,-189.6027817791316,310.7,-280.901488342237,19.34706699999515,8885.50467943307,84,-354.1350335088247,22000.0,-307.6457957669228,22000.0,-326.7374177354434,22000.0,-603.003796094887,22000.0
64.0,64.0,1,0.12686491,0.24205925,0.17366685,0.17366685,0.14767712,0.32518694,0.120182425,0.23223205,-378.1864141975205,274.1,-188.8552211014301,113.4,-271.7881475019252,232.0,-354.327962961701,259.7,-298.2894364406442,18.178844587993808,9327.092860259581,88,-313.26956286211396,23000.0,-134.50749516459487,23000.0,-569.4360741807606,23000.0,-621.5496056784926,23000.0
64.0,64.0,1,0.08925049,0.25172323,0.16305743,0.16305743,0.108586684,0.33567,0.10035988,0.23102354,-783.83164324766,391.2,-337.12316593059643,203.0,-363.1955506744485,311.9,-664.6644841268273,392.7,-537.2037109948831,14.951039926963858,9774.841857158113,92,-243.23718831813417,24000.0,-228.21446341797096,24000.0,-509.84569137881317,24000.0,-392.1616738294448,24000.0
64.0,64.0,0,0.16171843,0.16171843,0.15609838,0.26706544,0.11455433,0.34504148,0.14898024,0.24033426,-188.2889186827363,106.5,-307.7677801239124,296.2,-384.81144868511245,251.7,-201.5016862745877,256.1,-270.5924584415872,22.809365844004788,10218.21269359102,96,-55.65608419028588,25000.0,-227.9581698048506,25000.0,-285.34139865406866,25000.0,-220.3650774901809,25000.0
64.0,64.0,0,0.1525795,0.1525795,0.1428436,0.26657864,0.1067794,0.3609038,0.110592015,0.2488796,-180.91509924338118,97.3,-487.4044828933759,470.4,-352.7831446914864,263.0,-335.15628357802495,300.6,-339.06475260156714,15.578829371952452,10663.336272595916,100,-242.16649192812793,26000.0,-116.47033971535515,26000.0,-158.991577187789,26000.0,-310.23418113202945,26000.0
64.0,64.0,1,0.13436899,0.27956843,0.1509404,0.1509404,0.12912811,0.33176783,0.13455398,0.24684235,-222.67268198851147,218.1,-86.94033654913524,68.5,-338.4918762237963,396.6,-135.06955572793592,154.8,-195.79361262234474,18.95719030802138,11103.744105941965,104,-302.4621356058857,27000.0,-198.28168454320152,27000.0,-160.1157421484957,27000.0,-247.70520325158077,27000.0
64.0,64.0,2,0.11670039,0.3121481,0.11256093,0.31324756,0.14557333,0.14557333,0.11067281,0.27195787,-269.0380257320922,209.1,-289.5850857677923,194.6,-154.17997929375443,123.8,-701.0410116042526,597.7,-353.4610255994729,14.470651978976093,11549.589460124145,108,-164.84797929169414,28000.0,-226.00581066757718,28000.0,-122.2532743087827,28000.0,-281.6636420201658,28000.0
64.0,64.0,0,0.17337984,0.17337984,0.13309172,0.31039685,0.1270507,0.3697676,0.13315357,0.2748697,-231.5927489748711,130.2,-96.14912973279645,65.5,-458.2037095193089,474.6,-102.08216186827241,79.7,-222.0069375238122,19.62359423597809,11986.914942023694,112,-177.59869679684385,29000.0,-269.6670107011802,29000.0,-271.3603285605401,29000.0,-234.82167867938537,29000.0
64.0,64.0,3,0.1906053,0.26264045,0.10915254,0.29155806,0.1013277,0.33935267,0.16725811,0.16725811,-247.02134748075565,387.6,-264.3445631962425,245.2,-316.8698078022343,226.5,-330.2922145654177,179.1,-289.63198326116253,12.960332582937554,12431.809272549464,116,-144.99551709364297,30000.0,-377.94081210184095,30000.0,-229.54511727789563,30000.0,-159.43828688273226,30000.0
64.0,64.0,0,0.14337626,0.14337626,0.11756766,0.36082715,0.11734122,0.40030622,0.15090077,0.30780676,-153.27016515426956,117.9,-907.5351474903971,527.7,-178.68309393398525,118.6,-246.5498828467777,191.1,-371.5095723563574,18.004837415064685,12872.848267109948,120,-175.79203663661067,31000.0,-432.0719256640597,31000.0,-405.24747193719094,31000.0,-258.7394469517056,31000.0
64.0,64.0,1,0.14243235,0.34468946,0.14109036,0.14109036,0.119603135,0.41814798,0.12793371,0.31233808,-339.32848819969206,291.5,-231.220112376621,178.4,-409.39369853406333,361.6,-99.0168415599122,86.3,-269.7397851675721,16.62477132200729,13319.131987146218,124,-264.4176123624949,32000.0,-246.46333191855425,32000.0,-392.18858418313596,32000.0,-252.99470740404286,32000.0
64.0,64.0,3,0.17201203,0.34027958,0.15269753,0.35436487,0.12984343,0.41782555,0.16892858,0.16892858,-286.0721902961281,237.8,-130.77457883082337,95.8,-234.5711035908219,192.8,-463.6172751904696,252.3,-278.75878697706077,16.07259937201161,13756.275784433703,128,-340.4372306997598,33000.0,-151.6548319754282,33000.0,-501.49482326016124,33000.0,-150.34503294051305,33000.0
64.0,64.0,1,0.14512055,0.34855068,0.17338923,0.17338923,0.12946294,0.4186784,0.14722063,0.3249803,-64.78859997635531,66.5,-212.05992820926218,143.8,-352.08573392452735,248.0,-396.3652443982013,244.8,-256.3248766270865,13.463764147949405,14195.164846599102,132,-334.65959553624623,34000.0,-156.80286630757172,34000.0,-349.1124142086197,34000.0,-210.65402701406015,34000.0
128.0,128.0,1,0.12384891,0.2984079,0.1444103,0.1444103,0.13627626,0.3637372,0.12736155,0.26693833,-928.3151206119713,648.6,-261.3947413894557,135.4,-638.7003688109996,404.2,-225.66185596835834,268.5,-513.5180216951962,12.109177260077558,14647.670301370672,136,-252.07830487846,35000.0,-177.4359600119766,35000.0,-254.487741895689,35000.0,-286.1923333117465,35000.0
128.0,128.0,1,0.122752205,0.27832597,0.14738776,0.14738776,0.115171805,0.3411475,0.11082079,0.25496727,-252.10670481254465,424.5,-455.8069095894108,390.4,-340.8924199174854,228.6,-215.58780158936648,201.3,-316.09845897720186,25.775005885981955,15092.23853050056,140,-233.91111265880016,36000.0,-253.16252111984005,36000.0,-287.0265659594836,36000.0,-280.8291216521362,36000.0
128.0,128.0,0,0.1610481,0.1610481,0.17425022,0.30395544,0.14258331,0.32793826,0.13078678,0.23980606,-195.14837154636174,93.8,-237.41951683152325,273.6,-316.1885510739904,289.8,-119.74502243766608,119.4,-217.12536547238537,18.761938121984713,15531.313664989197,144,-113.1735759087283,37000.0,-380.216854983713,37000.0,-328.60401972696667,37000.0,-281.4570645503283,37000.0
128.0,128.0,0,0.1728128,0.1728128,0.12629391,0.30274558,0.13375711,0.31951708,0.105128825,0.24343325,-188.38588339628134,109.4,-395.7653809026909,345.9,-359.0417602431774,327.8,-549.250984859928,561.8,-373.11100235051947,13.814003007952124,15977.42739087902,148,-152.7660869510109,38000.0,-281.8798883285666,38000.0,-291.21677458577653,38000.0,-323.1444174938266,38000.0
128.0,128.0,1,0.14799358,0.28547454,0.1624799,0.1624799,0.12934342,0.32082275,0.13772672,0.24613146,-568.35264070157,570.8,-196.4497947787539,118.7,-291.6692705030558,345.4,-379.6082485122932,411.4,-359.0199886239182,20.873113048961386,16426.54097373248,152,-329.6524307019339,39000.0,-150.2349826533235,39000.0,-176.7312622051054,39000.0,-380.21129252313773,39000.0
128.0,128.0,1,0.14189306,0.28271395,0.15907541,0.15907541,0.14225964,0.3334237,0.1451152,0.25362724,-699.3277562375698,585.0,-401.7191319928777,188.7,-214.93279112126,190.6,-461.7250556888472,427.7,-444.42618376013866,25.08027073496487,16873.758211311768,156,-152.5717748022002,40000.0,-308.66765621031925,40000.0,-259.39300049806087,40000.0,-440.5706421783123,40000.0
128.0,128.0,0,0.15098102,0.15098102,0.17306866,0.30020145,0.1499075,0.33178425,0.15391059,0.2524727,-260.8667771075014,157.2,-410.6913241883499,386.5,-166.50327629758044,170.5,-321.58925348348555,249.9,-289.9126577692293,21.815445631975308,17315.041414850042,160,-179.23972346025175,41000.0,-321.2527510052526,41000.0,-308.8829828193669,41000.0,-373.10985637527494,41000.0
